id,host,app,host_type,virtual,desktop,os,os_release,os_version,host_model,host_serial,location,ip
298,R108C00,SAX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
299,R108C00,SAX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
300,R108C00,AOS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
301,R108C00,AOS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
302,R108C00,WFM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
303,R108C00,WFM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
304,R108C00,PRZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
305,R108C00,PRZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
306,R108C00,DZZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
307,R108C00,DZZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
308,R108C00,CWM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
309,R108C00,CWM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
310,R108C00,EFK,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
311,R108C00,EFK,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
312,R108C00,GAP,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
313,R108C00,GAP,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
314,R108C00,TOA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
315,R108C00,TOA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
316,R108C00,NCX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
317,R108C00,NCX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
318,R108C00,NGE,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
319,R108C00,NGE,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
320,R108C00,BUS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
321,R108C00,BUS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
322,R108C00,AVC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
323,R108C00,AVC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
324,R108C00,OPD,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
325,R108C00,OPD,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
326,R108C00,ESF,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
327,R108C00,ESF,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
328,R108C00,RAA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
329,R108C00,RAA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
330,R108C00,EDY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
331,R108C00,EDY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
332,R108C00,ACZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
333,R108C00,ACZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
334,R108C00,ETC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,10.9.27.24
335,R108C00,ETC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ2,SOMERSET,fe80::6ab5:99ff:febf:7250
336,NTSMPRT02602A,WFS,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-56 4D AB 3B 47 A0 DE 5E-87 9E 7F F1 32 43 58 30,Everett,172.17.200.97
337,NTSMPRT02602A,WFP,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-56 4D AB 3B 47 A0 DE 5E-87 9E 7F F1 32 43 58 30,Everett,172.17.200.97
338,WTPCPAVLSS01,LSS,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 0F E1 23 E4 0E 36 4F-2B AC 65 82 81 18 CB E9,Nashville,160.254.15.221
339,WSOMTAVIEF01,IEF,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-42 32 D7 E7 76 A5 A3 0F-8D BF 0B 2C E0 B6 43 A0,SOMERSET,10.9.176.151
340,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.77
341,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.75
342,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.73
343,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.74
344,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.144
345,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.76
346,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,160.254.62.72
347,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.77
348,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.74
349,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.73
350,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,160.254.62.73
351,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.76
352,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,160.254.62.76
353,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,160.254.62.74
354,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.75
355,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,10.59.46.144
356,XSA00G11,LNS,Server,N,N,AIX,12,5.3,9133-55A,103C3EH,Nashville,160.254.62.75
357,RSOMDAPALP03,ALP,Server,N,N,Linux,release 4,2.6.9-78.ELsmp,N/A,N/A,SOMERSET,10.9.51.77
358,R510N0V,AOS,Server,Y,N,Linux,release 5.5,2.6.18-194.11.1.el5,N/A,VMWARE-42 32 65 A2 7B 16 A0 06-8D 68 91 0B E1 C2 F4 45,SOMERSET,10.9.176.171
359,R510N0V,AOS,Server,Y,N,Linux,release 5.5,2.6.18-194.11.1.el5,N/A,VMWARE-42 32 65 A2 7B 16 A0 06-8D 68 91 0B E1 C2 F4 45,SOMERSET,fe80::250:56ff:feb2:301
360,XSD00A30,SMD,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF08265FA,Nashville,160.254.41.61
361,XSD00A30,SMD,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF08265FA,Nashville,160.254.41.57
362,WSYDPDSAMS01,WDC,Server,Y,N,Windows 2008,6002,6.0.6002,VMware Virtual Platform,VMWARE-42 32 B2 03 D8 E5 B8 E4-D7 02 62 B1 F6 19 A6 AE,Sydney,167.113.83.25
363,XSD00936,BDM,Server,N,N,Solaris,s28s_hw4wos_05a,2.8,"SUNW,Sun-Fire-480R",0526AK2050,Nashville,160.254.68.53
364,XSD00936,BDM,Server,N,N,Solaris,s28s_hw4wos_05a,2.8,"SUNW,Sun-Fire-480R",0526AK2050,Nashville,160.254.68.51
365,XSD00936,BDM,Server,N,N,Solaris,s28s_hw4wos_05a,2.8,"SUNW,Sun-Fire-480R",0526AK2050,Nashville,160.254.68.52
366,WNPCPAPHLS01,LAS,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL460c G6,USE946VD55,Freeport,10.159.193.15
367,NTSDITS106002,SWD,Server,N,N,Microsoft Windows 2000,N/A,5.0.2195,N/A,KPBXR39,Uniondale,172.20.61.31
368,XSD00Z80,INX,Server,N,N,SunOS,s28s_u6wos_08a,5.8,Sun Microsystems sun4u 8-slot Sun Enterprise E4500/E5500,145H2517,SOMERSET,160.254.91.148
369,XSD00Z80,INX,Server,N,N,SunOS,s28s_u6wos_08a,5.8,Sun Microsystems sun4u 8-slot Sun Enterprise E4500/E5500,145H2517,SOMERSET,160.254.91.149
370,WSOMPAPFOS02,FOS,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant DL380 G5,USE721N5XN,SOMERSET,160.254.92.143
371,WTPCPAVOCS01,IMO,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-5F 16 64 A5 E6 18 48 06-AA 21 EE D7 49 D1 58 92,Nashville,160.254.218.166
372,WNPCPWVYUW02,YUW,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 34 51 F4 D4 F3 3F 3F-7A 9D 4E 28 01 60 D4 26,Freeport,10.159.150.33
373,WSOMDDVVPM01,VPM,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 0F EA 02 23 30 5A F1-6A C5 85 9A 48 3C 8D B8,SOMERSET,10.9.14.153
374,AVABO301N04,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Boston,fe80::21e:c9ff:fe5d:3091
375,AVABO301N04,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Boston,172.17.101.128
376,AVANPCESX03N01,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Freeport,fe80::222:19ff:fe05:6515
377,AVANPCESX03N01,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Freeport,167.222.70.21
378,WSOMPAPRFX05,RFX,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL460c G1,USE904K42D,SOMERSET,160.254.0.248
379,WSOMPAPRFX05,RFX,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL460c G1,USE904K42D,SOMERSET,160.254.0.245
380,WSOMPAPRFX05,RFX,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL460c G1,USE904K42D,SOMERSET,160.254.0.246
381,WSOMPAPRFX05,RFX,Server,N,N,Windows 2003 R2,3790,5.2.3790,ProLiant BL460c G1,USE904K42D,SOMERSET,160.254.0.139
382,XSD00A34,DSE,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.197
383,XSD00A34,DSE,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.198
384,XSD00A34,DSE,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.196
385,XSD00A34,DSE,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.197
386,XSD00A34,DAL,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.197
387,XSD00A34,DAL,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.198
388,XSD00A34,DAL,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.196
389,XSD00A34,DAL,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.197
390,XSD00A34,TSR,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.197
391,XSD00A34,TSR,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.198
392,XSD00A34,TSR,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.196
393,XSD00A34,TSR,Server,N,N,SunOS,s10s_u8wos_08a,5.1,Sun Microsystems sun4u SPARC Enterprise M5000 Server,BEF0906BA7,Nashville,160.254.55.197
394,NTSMETA91074N,YLX,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G4,2UX61501HT,Irwindale,172.23.28.115
395,NTSMETA91074N,YLR,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G4,2UX61501HT,Irwindale,172.23.28.115
396,R161C10,OSA,Server,N,N,Linux,release 5.6,2.6.18-238.5.1.el5,ProLiant BL460c G6,USE1046DX8,Freeport,fe80::3e4a:92ff:feed:79e5
397,R161C10,OSA,Server,N,N,Linux,release 5.6,2.6.18-238.5.1.el5,ProLiant BL460c G6,USE1046DX8,Freeport,fe80::3e4a:92ff:feed:79e0
398,R161C10,OSA,Server,N,N,Linux,release 5.6,2.6.18-238.5.1.el5,ProLiant BL460c G6,USE1046DX8,Freeport,fe80::3e4a:92ff:feed:79e1
399,R161C10,OSA,Server,N,N,Linux,release 5.6,2.6.18-238.5.1.el5,ProLiant BL460c G6,USE1046DX8,Freeport,fe80::3e4a:92ff:feed:79e4
400,R161C10,OSA,Server,N,N,Linux,release 5.6,2.6.18-238.5.1.el5,ProLiant BL460c G6,USE1046DX8,Freeport,167.222.214.90
401,AVANPC01N13,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Freeport,167.222.65.28
402,WSOMDAVVPM03,VPM,Server,Y,N,Windows 2003 R2,3790,5.2.3790,Virtual Machine,5657-5460-8008-7168-1595-8281-86,SOMERSET,10.9.174.51
403,AVANPCKVS01N05,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Freeport,fe80::226:b9ff:fe4c:9258
404,AVANPCKVS01N05,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Freeport,167.222.66.61
405,WBRVPCX13,WCX,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 3B B8 CC 89 B8 3F 4B-20 D8 86 C8 79 3A 8F 1B,Brussels BE,10.12.70.173
406,WSOMPAPINX11,INX,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 32 ED 4D D8 15 9B 3B-78 DA C8 01 EA D4 B1 48,SOMERSET,160.254.92.211
407,WSOMTAVLAB02,LAB,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 21 43 FD 88 99 DD A5-05 7A A4 84 28 C1 22 D1,SOMERSET,10.153.128.115
408,WTPCPAVRFX11,RFX,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 32 79 01 0D 79 15 86-A4 DB F6 95 69 04 84 AB,Nashville,160.254.98.111
409,WPLEPPVAMS01,COR,Server,Y,N,Windows 2008,6002,6.0.6002,VMware Virtual Platform,VMWARE-50 1D 21 24 24 28 A0 2D-D7 5E 43 85 96 A2 D7 D0,Pleasantville,167.222.239.7
410,NTSMTEL15007A,NCL,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G5,2UX72804L4,Pittsburgh,172.27.6.106
411,W106PPVAMS01,COR,Server,Y,N,Windows 2008,6002,6.0.6002,VMware Virtual Platform,VMWARE-50 1D B0 8A 11 DB 56 E3-ED 02 52 9E 17 9C 22 3D,Uniondale,167.222.240.119
412,W106PPVAMS01,ESX,Server,Y,N,Windows 2008,6002,6.0.6002,VMware Virtual Platform,VMWARE-50 1D B0 8A 11 DB 56 E3-ED 02 52 9E 17 9C 22 3D,Uniondale,167.222.240.119
413,WSOMPCXSAM02,SAM,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G5,USE652N14G,SOMERSET,10.109.114.32
414,WSOMDAPAES01,AES,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-56 4D F4 4A A9 EC C0 C3-0C 67 D6 48 87 D4 4D 4C,SOMERSET,10.9.4.198
415,XSD00B05,CFT,Server,N,N,SunOS,s28s_u7wos_08a,5.8,Sun Microsystems sun4u Sun Fire 480R,UNKNOWN,Nashville,160.254.50.54
416,XSD00B05,CFT,Server,N,N,SunOS,s28s_u7wos_08a,5.8,Sun Microsystems sun4u Sun Fire 480R,UNKNOWN,Nashville,160.254.50.53
417,XSD00B05,CFT,Server,N,N,SunOS,s28s_u7wos_08a,5.8,Sun Microsystems sun4u Sun Fire 480R,UNKNOWN,Nashville,160.254.50.53
418,XSD00B05,CFT,Server,N,N,SunOS,s28s_u7wos_08a,5.8,Sun Microsystems sun4u Sun Fire 480R,UNKNOWN,Nashville,160.254.50.53
419,NTSMETA15049A,YTH,Server,N,N,Microsoft Windows 2000,N/A,5.0.2195,N/A,N/A,Nashville,160.254.231.140
420,WSOMPAPQSS01,QSS,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G4,USE651N6KK,SOMERSET,10.9.114.141
421,R106C00,PLY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
422,R106C00,PLY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
423,R106C00,YYC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
424,R106C00,YYC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
425,R106C00,WVR,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
426,R106C00,WVR,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
427,R106C00,IPX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
428,R106C00,IPX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
429,R106C00,IWA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
430,R106C00,IWA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
431,R106C00,SAX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
432,R106C00,SAX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
433,R106C00,ACZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
434,R106C00,ACZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
435,R106C00,DZZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
436,R106C00,DZZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
437,R106C00,BUS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
438,R106C00,BUS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
439,R106C00,TOA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
440,R106C00,TOA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
441,R106C00,OPD,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
442,R106C00,OPD,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
443,R106C00,NGE,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
444,R106C00,NGE,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
445,R106C00,WFM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
446,R106C00,WFM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
447,R106C00,EFK,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
448,R106C00,EFK,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
449,R106C00,EDY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
450,R106C00,EDY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
451,R106C00,ESF,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
452,R106C00,ESF,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
453,R106C00,AVC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
454,R106C00,AVC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
455,R106C00,GAP,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
456,R106C00,GAP,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
457,R106C00,RAA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
458,R106C00,RAA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
459,R106C00,CWM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,10.9.27.22
460,R106C00,CWM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494NJ0,SOMERSET,fe80::6ab5:99ff:febf:72b0
