id,host,app,host_type,virtual,desktop,os,os_release,os_version,host_model,host_serial,location,ip
188,WQVSPWIEUR02,EUR,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 22 DA 9F 75 2B 64 C5-20 F8 45 05 E3 92 ED 61,London UK,167.113.185.102
189,XSD00909,GUI,Server,N,N,Solaris,s28s_u6wos_08a,2.8,"SUNW,Ultra-80",137C030B,SOMERSET,160.254.19.124
190,AVATMI01N04,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Troy,fe80::222:19ff:fe02:f723
191,AVATMI01N04,ESS,Storage,N,N,Linux,release 4,2.6.9-67.EL.bz450900.HFsmp,N/A,N/A,Troy,10.65.0.46
192,R102P10,PLY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
193,R102P10,PLY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
194,R102P10,GAP,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
195,R102P10,GAP,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
196,R102P10,ETC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
197,R102P10,ETC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
198,R102P10,AOS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
199,R102P10,AOS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
200,R102P10,TOA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
201,R102P10,TOA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
202,R102P10,BUS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
203,R102P10,BUS,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
204,R102P10,ACZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
205,R102P10,ACZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
206,R102P10,OPD,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
207,R102P10,OPD,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
208,R102P10,IWA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
209,R102P10,IWA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
210,R102P10,NCX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
211,R102P10,NCX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
212,R102P10,NGE,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
213,R102P10,NGE,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
214,R102P10,EDY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
215,R102P10,EDY,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
216,R102P10,DZZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
217,R102P10,DZZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
218,R102P10,FRC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
219,R102P10,FRC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
220,R102P10,ESF,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
221,R102P10,ESF,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
222,R102P10,RAA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
223,R102P10,RAA,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
224,R102P10,CWM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
225,R102P10,CWM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
226,R102P10,WFM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
227,R102P10,WFM,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
228,R102P10,AVC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
229,R102P10,AVC,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
230,R102P10,PRZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
231,R102P10,PRZ,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
232,R102P10,SAX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,fe80::6ab5:99ff:febf:2c80
233,R102P10,SAX,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE0494JT0,Nashville,10.59.13.143
234,WSOMDAVNII02,NII,Server,Y,N,Windows 2003 R2,3790,5.2.3790,Virtual Machine,4000-4058-7885-5079-5445-1339-10,SOMERSET,10.9.175.77
235,XSDQ0E46,SLH,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.47
236,XSDQ0E46,SLH,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.46
237,XSDQ0E46,SLH,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.49
238,XSDQ0E46,GLN,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.47
239,XSDQ0E46,GLN,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.46
240,XSDQ0E46,GLN,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.49
241,XSDQ0E46,SLC,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.47
242,XSDQ0E46,SLC,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.46
243,XSDQ0E46,SLC,Server,N,N,SunOS,s28s_hw4wos_05a,5.8,Sun Microsystems sun4u Sun Fire V890,0537AM00CA,SOMERSET,10.9.55.49
244,WSOMPNVTRM01,DLP,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 32 56 EC 64 0B 22 BA-DE 67 64 57 CC 73 F1 16,SOMERSET,10.9.174.110
245,WSOMPAVBOS02,BOS,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 3E 65 30 A2 F9 A9 13-19 57 79 61 9B 23 F5 B9,SOMERSET,10.9.5.90
246,XSDQ0E11,COR,Server,N,N,SunOS,s28s_u6wos_08a,5.8,Sun Microsystems sun4u Sun Enterprise 420R (2 X UltraSPARC-II 450MHz),223C5107,SOMERSET,160.254.19.57
247,XSDQ0E11,COR,Server,N,N,SunOS,s28s_u6wos_08a,5.8,Sun Microsystems sun4u Sun Enterprise 420R (2 X UltraSPARC-II 450MHz),223C5107,SOMERSET,160.254.19.57
248,WSOMDCVORJ01,ORJ,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 0F F4 69 AF 47 0F 3F-C0 DC 79 3F 13 E3 39 1F,SOMERSET,10.9.14.44
249,WMTKPCVEUR11,EUR,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 22 D2 D5 1C 15 27 BC-A9 1D 95 8C 83 1A 2D 27,Milton Keynes UK,167.113.161.241
250,AVASNG01N16,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Singapore,fe80::226:b9ff:fe57:bd37
251,AVASNG01N16,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Singapore,fe80::226:b9ff:fe57:bd39
252,AVASNG01N16,ESS,Storage,N,N,Linux,release 4,2.6.9-89.ELsmp,N/A,N/A,Singapore,10.45.3.60
253,WSOMDWBPMG01,PMG,Server,Y,N,Windows 2003 R2,3790,5.2.3790,VMware Virtual Platform,VMWARE-42 10 09 8F 0F 86 EC 92-3F 41 39 20 3B 3E 31 B8,SOMERSET,10.9.171.70
254,TPCIBMSSPC01,ITY,Server,N,N,Windows 2008,6002,6,IBM System x3550 -[2805MC3]-,7507061,Nashville,10.60.170.143
255,WOCSPWVXML02,VIS,Server,Y,N,Windows 2003,3790,5.2.3790,VMware Virtual Platform,VMWARE-50 22 B4 1B C9 39 30 57-04 E9 D5 16 82 59 0B FC,London UK,167.113.185.198
256,NTSMGSS15080A,YHJ,Server,N,Y,Microsoft Windows 2000,N/A,5.0.2195,N/A,N/A,Freeport,172.26.181.59
257,NTSMGCM15058A,YLR,Server,N,N,Windows 2003,3790,5.2.3790,PowerEdge 2850,3JT9M81,N/A,172.29.85.54
258,R303C10,SMD,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,fe80::3e4a:92ff:feeb:6f55
259,R303C10,SMD,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,fe80::3e4a:92ff:feeb:6f54
260,R303C10,SMD,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,fe80::3e4a:92ff:feeb:6f50
261,R303C10,SMD,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,10.9.27.81
262,R303C10,ESB,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,fe80::3e4a:92ff:feeb:6f55
263,R303C10,ESB,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,fe80::3e4a:92ff:feeb:6f54
264,R303C10,ESB,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,fe80::3e4a:92ff:feeb:6f50
265,R303C10,ESB,Server,N,N,Linux,release 5.4,2.6.18-164.el5,ProLiant BL460c G6,USE1066JN6,SOMERSET,10.9.27.81
266,XSA00Z70,CLX,Server,N,N,AIX,7,6.1,9117-570,10AB10E,SOMERSET,160.254.94.224
267,WWPOPAPNCL4,NCL,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant DL380 G5,USE813N7RB,West Paterson,10.7.57.52
268,WA57PDSPAC03,COR,Server,Y,N,Windows 2008,6002,6.0.6002,VMware Virtual Platform,VMWARE-50 1D 16 20 5F 75 93 86-61 58 B0 4E 47 0D 2E 59,Pune India,167.113.82.136
269,NTSAPPS07718A,COR,Server,N,N,Windows 2003,3790,5.2.3790,ProLiant BL460c G1,USE924MS2W,Freeport,10.0.55.138
270,BENCHMARKADS01,FHF,Server,Y,N,"Microsoft Windows Server 2003, Standard Edition (32-bit)",N/A,N/A,N/A,N/A,Nashville,160.254.119.178
271,BENCHMARKADS01,ADS,Server,Y,N,"Microsoft Windows Server 2003, Standard Edition (32-bit)",N/A,N/A,N/A,N/A,Nashville,160.254.119.178
272,R072C10,FRI,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE05154W7,SOMERSET,fe80::3e4a:92ff:fedd:23ac
273,R072C10,FRI,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE05154W7,SOMERSET,fe80::3e4a:92ff:fedd:23ad
274,R072C10,FRI,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE05154W7,SOMERSET,fe80::3e4a:92ff:fedd:23a8
275,R072C10,FRI,Server,N,N,Linux,release 5.4,2.6.18-194.11.1.el5,ProLiant BL460c G6,USE05154W7,SOMERSET,10.9.181.149
